time,latitude,longitude,satellites_used
2018-06-11_12:14:58.885,60.10348147,19.92946961,3
2018-06-11_12:14:59.885,60.10348147,19.92946961,3
2018-06-11_12:15:00.885,60.10340323,19.92940368,3
2018-06-11_12:15:01.885,60.10340323,19.92940368,3
2018-06-11_12:15:02.885,60.10341502,19.92940981,3
2018-06-11_12:15:03.885,60.10341502,19.92940981,3
2018-06-11_12:15:04.885,60.10342681,19.92941594,3
2018-06-11_12:15:05.885,60.10342946,19.92939904,3
2018-06-11_12:15:06.885,60.10342946,19.92939904,3
2018-06-11_12:15:07.885,60.10342946,19.92939904,3
2018-06-11_12:15:08.885,60.10342946,19.92939904,3
2018-06-11_12:15:09.886,60.10342946,19.92939904,3
2018-06-11_12:15:10.886,60.10351501,19.92947109,3
2018-06-11_12:15:11.886,60.10349143,19.92945883,3
2018-06-11_12:15:12.886,60.10349143,19.92945883,3
2018-06-11_12:15:13.886,60.10361181,19.92941871,3
2018-06-11_12:15:14.886,60.10357095,19.9294111,3
2018-06-11_12:15:15.886,60.10357095,19.9294111,3
2018-06-11_12:15:16.886,60.10354207,19.92943264,3
2018-06-11_12:15:17.886,60.10356118,19.9294449,3
2018-06-11_12:15:18.886,60.10356118,19.9294449,3
2018-06-11_12:15:19.886,60.10357361,19.9293942,3
2018-06-11_12:15:20.886,60.10348942,19.9294189,3
2018-06-11_12:15:21.886,60.10348942,19.9294189,3
2018-06-11_12:15:22.886,60.10358357,19.92938342,3
2018-06-11_12:15:23.887,60.10361447,19.92940181,3
2018-06-11_12:15:24.887,60.10361447,19.92940181,3
2018-06-11_12:15:26.817,60.10361447,19.92940181,3
2018-06-11_12:15:27.817,60.10352562,19.92940349,3
2018-06-11_12:15:28.817,60.10352096,19.92938046,3
2018-06-11_12:15:29.817,60.10349655,19.929402,3
2018-06-11_12:15:30.817,60.10349655,19.929402,3
2018-06-11_12:15:31.817,60.10343742,19.92934834,3
2018-06-11_12:15:32.817,60.10348275,19.92935595,3
2018-06-11_12:15:33.817,60.10348275,19.92935595,3
2018-06-11_12:15:34.817,60.10349984,19.92932827,3
2018-06-11_12:15:35.817,60.10349984,19.92932827,3
2018-06-11_12:15:36.817,60.10349984,19.92932827,3
2018-06-11_12:15:37.817,60.10349984,19.92932827,3
2018-06-11_12:15:38.817,60.10366108,19.92929576,3
2018-06-11_12:15:39.818,60.10366108,19.92929576,3
2018-06-11_12:15:40.818,60.10354143,19.92948947,3
2018-06-11_12:15:41.818,60.10359536,19.92938955,3
2018-06-11_12:15:42.818,60.10359536,19.92938955,3
2018-06-11_12:15:43.818,60.10363622,19.92939716,3
2018-06-11_12:15:44.818,60.10360268,19.92939568,3
2018-06-11_12:15:45.818,60.10360268,19.92939568,3
2018-06-11_12:15:46.818,60.10360715,19.92939568,3
2018-06-11_12:15:47.818,60.10361447,19.92940181,3
2018-06-11_12:15:48.818,60.10361447,19.92940181,3
2018-06-11_12:15:49.818,60.10352233,19.92947722,3
2018-06-11_12:15:50.818,60.10362561,19.92946476,3
2018-06-11_12:15:51.818,60.10362561,19.92946476,3
2018-06-11_12:15:52.818,60.10356447,19.92937117,3
2018-06-11_12:15:53.819,60.10350121,19.92942503,3
2018-06-11_12:15:54.819,60.10350121,19.92942503,3
2018-06-11_12:15:55.819,60.10346501,19.92944045,3
2018-06-11_12:15:56.819,60.10353604,19.92931285,3
2018-06-11_12:15:57.819,60.10353604,19.92931285,3
2018-06-11_12:15:58.819,60.10341172,19.92948354,3
2018-06-11_12:15:59.819,60.10347032,19.92940665,3
2018-06-11_12:16:00.819,60.10347032,19.92940665,3
2018-06-11_12:16:01.819,60.10355185,19.92939884,3
2018-06-11_12:16:02.819,60.10348549,19.92954947,3
2018-06-11_12:16:03.819,60.10348549,19.92954947,3
2018-06-11_12:16:04.819,60.10355852,19.9294618,3
2018-06-11_12:16:05.819,60.10355852,19.9294618,3
2018-06-11_12:16:06.819,60.10354143,19.92948947,3
2018-06-11_12:16:07.820,60.10359472,19.92944638,3
2018-06-11_12:16:08.820,60.1035099,19.92952792,3
2018-06-11_12:16:09.820,60.1035099,19.92952792,3
2018-06-11_12:16:10.820,60.10363622,19.92939716,3
2018-06-11_12:16:11.820,60.10357296,19.92945103,3
2018-06-11_12:16:12.820,60.10357296,19.92945103,3
2018-06-11_12:16:13.820,60.10351967,19.92949412,3
2018-06-11_12:16:14.820,60.10357562,19.92943413,3
2018-06-11_12:16:15.820,60.10357562,19.92943413,3
2018-06-11_12:16:16.820,60.10345194,19.92954798,3
2018-06-11_12:16:17.820,60.10342753,19.92956953,3
2018-06-11_12:16:18.820,60.10342753,19.92956953,3
2018-06-11_12:16:19.820,60.10352233,19.92947722,3
2018-06-11_12:16:20.820,60.10347635,19.92952644,3
2018-06-11_12:16:21.820,60.10347635,19.92952644,3
2018-06-11_12:16:22.821,60.1034375,19.92955876,3
2018-06-11_12:16:23.821,60.10349079,19.92951566,3
2018-06-11_12:16:24.821,60.10349079,19.92951566,3
2018-06-11_12:16:25.821,60.10359006,19.92942335,3
2018-06-11_12:16:27.720,60.10359006,19.92942335,3
2018-06-11_12:16:28.720,60.10341373,19.92952347,3
2018-06-11_12:16:29.720,60.10348412,19.92945271,3
2018-06-11_12:16:30.720,60.10348412,19.92945271,3
2018-06-11_12:16:31.720,60.10353165,19.92952328,3
2018-06-11_12:16:32.720,60.10350386,19.92940813,3
2018-06-11_12:16:33.720,60.10350386,19.92940813,3
2018-06-11_12:16:34.720,60.10342753,19.92956953,3
2018-06-11_12:16:35.720,60.10352434,19.92951715,3
2018-06-11_12:16:36.721,60.10352434,19.92951715,3
2018-06-11_12:16:37.721,60.10357369,19.92960462,3
2018-06-11_12:16:38.721,60.10342946,19.92939904,3
2018-06-11_12:16:39.721,60.10342946,19.92939904,3
2018-06-11_12:16:40.721,60.10337617,19.92944213,3
2018-06-11_12:16:41.721,60.10352699,19.92950025,3
2018-06-11_12:16:42.721,60.10352699,19.92950025,3
2018-06-11_12:16:43.721,60.10358612,19.92955391,3
2018-06-11_12:16:44.721,60.10356721,19.92956469,3
2018-06-11_12:16:45.721,60.10356721,19.92956469,3
2018-06-11_12:16:46.721,60.10357763,19.92947406,3
2018-06-11_12:16:47.721,60.10359271,19.92940645,3
2018-06-11_12:16:48.721,60.10359271,19.92940645,3
2018-06-11_12:16:49.721,60.10355844,19.92925138,3
2018-06-11_12:16:50.722,60.10340451,19.92929002,3
2018-06-11_12:16:51.722,60.10340451,19.92929002,3
2018-06-11_12:16:52.722,60.1034354,19.92930841,3
2018-06-11_12:16:53.722,60.10339921,19.92932383,3
2018-06-11_12:16:54.722,60.10339921,19.92932383,3
2018-06-11_12:16:55.722,60.10332352,19.92942839,3
2018-06-11_12:16:56.722,60.10358028,19.92945715,3
2018-06-11_12:16:57.722,60.10358028,19.92945715,3
2018-06-11_12:16:58.722,60.10349006,19.92936208,3
2018-06-11_12:16:59.722,60.10352096,19.92938046,3
2018-06-11_12:17:00.722,60.10352096,19.92938046,3
2018-06-11_12:17:01.722,60.10357425,19.92933737,3
2018-06-11_12:17:02.722,60.10359344,19.92956004,3
2018-06-11_12:17:03.722,60.10359344,19.92956004,3
2018-06-11_12:17:04.723,60.10368293,19.92950153,3
2018-06-11_12:17:05.723,60.10360523,19.92956617,3
2018-06-11_12:17:06.723,60.10360523,19.92956617,3
2018-06-11_12:17:07.723,60.10372113,19.92952604,3
2018-06-11_12:17:08.723,60.10369353,19.92943393,3
2018-06-11_12:17:09.723,60.10369353,19.92943393,3
2018-06-11_12:17:10.723,60.10337681,19.9293853,3
2018-06-11_12:26:09.566,60.10356237,19.92912082,3
2018-06-11_12:26:21.450,60.1036184,19.92927125,3
2018-06-11_12:26:22.450,60.1037237,19.92929872,3
2018-06-11_12:26:23.450,60.10361438,19.92919139,3
2018-06-11_12:26:24.450,60.10363494,19.92951082,3
2018-06-11_12:26:25.450,60.10355039,19.92909166,3
2018-06-11_12:26:26.450,60.10356511,19.92931434,3
2018-06-11_12:26:27.450,60.10352151,19.92911321,3
2018-06-11_12:26:28.450,60.10353869,19.92929596,3
2018-06-11_12:26:29.450,60.10349582,19.92924841,3
2018-06-11_12:26:30.450,60.10348733,19.92916856,3
2018-06-11_12:26:31.450,60.10357882,19.92914998,3
2018-06-11_12:26:32.450,60.10350917,19.92937433,3
2018-06-11_12:26:33.450,60.10340122,19.92936376,3
2018-06-11_12:26:34.450,60.10355386,19.92943877,3
2018-06-11_12:26:35.450,60.10346566,19.92938362,3
2018-06-11_12:26:36.451,60.10348878,19.92947574,3
2018-06-11_12:32:31.522,60.10324629,19.92901537,3
